Nombre,DNI,NSS,Género,Código Postal,Fecha Nacimiento,Fecha Ingreso,Diagnóstico,Tratamiento,Resultados
Marta Sánchez,58062256T,48/29415726/05,F,42031,1979-07-30,2025-10-30,Dermatitis atópica,Fisioterapia,Respuesta favorable
Laura Ortega,17317045V,13/90753147/07,F,38583,1961-10-13,2023-06-16,Artritis leve,Metformina 850 mg/12h,Respuesta favorable
Marta Ruiz,82041042J,49/51580669/08,F,28012,1970-12-11,2024-02-26,Migraña episódica,Ibuprofeno 400 mg/8h,Requiere seguimiento
Sara Vega,73616203U,86/78651297/06,M,42208,1988-05-09,2024-04-06,Ansiedad generalizada,Corticoide tópico,Sin cambios relevantes
Laura Martínez,23655485R,73/43881440/02,M,43052,1980-08-23,2024-02-11,Ansiedad generalizada,Sertralina 50 mg,Sin cambios relevantes
Sergio Vega,38494177C,26/69273941/01,M,32783,1991-11-20,2023-05-09,Migraña episódica,Antihistamínicos,Estable
Mario Vega,49292231Y,85/76272270/07,M,24772,1948-11-03,2024-08-04,Alergia estacional,Fisioterapia,Estable
David Ortega,79489288D,62/38856614/03,F,34199,1951-07-30,2023-04-08,Artritis leve,Paracetamol 1g,Respuesta favorable
Pablo Romero,28071836T,17/65744122/02,F,40981,1963-03-04,2023-10-29,Diabetes tipo II,Fisioterapia,Respuesta favorable
Elena Vega,60507978H,26/74680028/08,M,12491,1966-03-20,2023-07-20,Hipertensión arterial,Salbutamol inhalado,Alta médica
Pablo Molina,30102651N,31/48192223/05,M,22306,2000-12-23,2023-09-17,Hipertensión arterial,Corticoide tópico,Control parcial
Clara Ortega,62532263T,97/23610908/02,M,49952,1984-07-19,2024-03-24,Lumbalgia crónica,Metformina 850 mg/12h,Mejora significativa
Mario Gómez,66126908N,50/63802875/01,F,52380,1997-01-29,2024-02-26,Asma persistente,Omeprazol 20 mg/día,Sin cambios relevantes
Marta Ortega,66609677D,52/49166813/01,M,37516,1946-05-21,2023-12-09,Artritis leve,Fisioterapia,Control parcial
Marta Castro,43566140X,57/22933292/06,M,46508,1951-07-21,2024-02-19,Lumbalgia crónica,Metformina 850 mg/12h,Control parcial
Clara Fernández,39899451Y,50/84098346/07,F,34598,1996-06-02,2024-11-27,Gastritis,Sertralina 50 mg,Sin cambios relevantes
Ana Vega,37920662S,28/49056279/04,M,48996,1981-09-13,2024-11-22,Dermatitis atópica,Enalapril 10 mg/día,Requiere seguimiento
Elena Díaz,99664325I,43/29820480/02,M,37504,1946-06-01,2024-03-30,Gastritis,Omeprazol 20 mg/día,Respuesta favorable
